"Wahlkreisnummer 1994",AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,"darunter Wahlberechtigte mit Sperrvermerk",Wähler,Wahlbeteiligung,"Ungültige Erststimmen","Gültige Erststimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",FDP,"Anteil FDP in %",BFWG,"Anteil BFWG in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",Bürger,"Anteil Bürger in %",DSU,"Anteil DSU in %",GRAUE,"Anteil GRAUE in %",REP,"Anteil REP in %",KPD,"Anteil KPD in %",ÖDP,"Anteil ÖDP in %",PDS,"Anteil PDS in %",EB,"Anteil EB in %"
1,"1,20E+09",Briefwahlbezirk,0900,0,0,1308,"0,00",15,1293,575,"44,47",321,"24,83",63,"4,87",0,"0,00",57,"4,41",13,"1,01",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",264,"20,42",0,"0,00"
1,1207003205,Besandten,0001,97,0,78,"80,41",0,78,27,"34,62",41,"52,56",1,"1,28",0,"0,00",2,"2,56",1,"1,28",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",6,"7,69",0,"0,00"
1,1207004004,Blüthen,0001,303,6,164,"54,13",4,160,84,"52,50",54,"33,75",12,"7,50",0,"0,00",6,"3,75",2,"1,25",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",2,"1,25",0,"0,00"
1,1207004404,Boberow,0001,202,0,118,"58,42",3,115,38,"33,04",46,"40,00",12,"10,43",0,"0,00",2,"1,74",5,"4,35",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",12,"10,43",0,"0,00"
1,1207006005,Cumlosen,0001,636,8,315,"49,53",7,308,163,"52,92",101,"32,79",8,"2,60",0,"0,00",14,"4,55",3,"0,97",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",19,"6,17",0,"0,00"
1,1207006404,Dallmin,0001,534,14,277,"51,87",8,269,135,"50,19",72,"26,77",11,"4,09",0,"0,00",8,"2,97",9,"3,35",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",34,"12,64",0,"0,00"
1,1207008005,Eldenburg,0001,229,4,135,"58,95",4,131,81,"61,83",36,"27,48",6,"4,58",0,"0,00",4,"3,05",1,"0,76",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",3,"2,29",0,"0,00"
1,1207009204,Garlin,0001,157,0,93,"59,24",2,91,40,"43,96",37,"40,66",3,"3,30",0,"0,00",3,"3,30",1,"1,10",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",7,"7,69",0,"0,00"
1,1207009204,Garlin,0002,96,3,62,"64,58",2,60,27,"45,00",18,"30,00",5,"8,33",0,"0,00",2,"3,33",3,"5,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",5,"8,33",0,"0,00"
1,1207009204,Garlin,0003,174,3,110,"63,22",0,110,49,"44,55",46,"41,82",2,"1,82",0,"0,00",2,"1,82",2,"1,82",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",9,"8,18",0,"0,00"
