"Wahlkreisnummer 1994",AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,"darunter Wahlberechtigte mit Sperrvermerk",Wähler,Wahlbeteiligung,"Ungültige Zweitstimmen","Gültige Zweitstimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",FDP,"Anteil FDP in %",BFWG,"Anteil BFWG in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",Bürger,"Anteil Bürger in %",DSU,"Anteil DSU in %",GRAUE,"Anteil GRAUE in %",REP,"Anteil REP in %",ÖDP,"Anteil ÖDP in %",PDS,"Anteil PDS in %",UWVB,"Anteil UWVB in %"
1,"1,20E+09",Briefwahlbezirk,0900,0,0,1308,"0,00",7,1301,683,"52,50",292,"22,44",34,"2,61",0,"0,00",16,"1,23",1,"0,08",3,"0,23",1,"0,08",5,"0,38",2,"0,15",255,"19,60",9,"0,69"
1,1207003205,Besandten,0001,97,0,78,"80,41",0,78,27,"34,62",41,"52,56",1,"1,28",0,"0,00",2,"2,56",1,"1,28",0,"0,00",0,"0,00",1,"1,28",0,"0,00",5,"6,41",0,"0,00"
1,1207004004,Blüthen,0001,303,6,164,"54,13",2,162,97,"59,88",46,"28,40",7,"4,32",0,"0,00",4,"2,47",0,"0,00",0,"0,00",0,"0,00",1,"0,62",1,"0,62",3,"1,85",3,"1,85"
1,1207004404,Boberow,0001,202,0,118,"58,42",4,114,48,"42,11",47,"41,23",4,"3,51",0,"0,00",4,"3,51",1,"0,88",0,"0,00",0,"0,00",0,"0,00",0,"0,00",10,"8,77",0,"0,00"
1,1207006005,Cumlosen,0001,636,8,315,"49,53",6,309,172,"55,66",103,"33,33",6,"1,94",0,"0,00",5,"1,62",1,"0,32",0,"0,00",0,"0,00",2,"0,65",1,"0,32",19,"6,15",0,"0,00"
1,1207006404,Dallmin,0001,534,14,277,"51,87",9,268,147,"54,85",66,"24,63",8,"2,99",0,"0,00",6,"2,24",4,"1,49",0,"0,00",0,"0,00",2,"0,75",0,"0,00",34,"12,69",1,"0,37"
1,1207008005,Eldenburg,0001,229,4,135,"58,95",4,131,74,"56,49",39,"29,77",8,"6,11",0,"0,00",3,"2,29",1,"0,76",0,"0,00",0,"0,00",1,"0,76",0,"0,00",5,"3,82",0,"0,00"
1,1207009204,Garlin,0001,157,0,93,"59,24",0,93,50,"53,76",33,"35,48",2,"2,15",0,"0,00",2,"2,15",0,"0,00",0,"0,00",0,"0,00",1,"1,08",0,"0,00",5,"5,38",0,"0,00"
1,1207009204,Garlin,0002,96,3,62,"64,58",1,61,34,"55,74",16,"26,23",2,"3,28",0,"0,00",1,"1,64",2,"3,28",0,"0,00",0,"0,00",1,"1,64",0,"0,00",5,"8,20",0,"0,00"
1,1207009204,Garlin,0003,174,3,110,"63,22",0,110,55,"50,00",44,"40,00",2,"1,82",1,"0,91",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",1,"0,91",5,"4,55",2,"1,82"
1,1207009204,Garlin,0004,103,1,61,"59,22",1,60,28,"46,67",26,"43,33",2,"3,33",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00",2,"3,33",0,"0,00",2,"3,33",0,"0,00"
