AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,darunter: Wahlberechtigte mit Sperrvermerk,Wähler,Wahlbeteiligung,"Ungültige Erststimmen","Gültige Erststimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",PDS,"Anteil PDS in %",BFWG,"Anteil BFWG in %","BFB Die Offensive","Anteil BFB Die Offensive in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %","Bürger Bündnis","Anteil Bürger Bündnis in %",FDP,"Anteil FDP in %",NPD,"Anteil NPD in %",EB,"Anteil EB in %"
1205100000,Brandenburg an der Havel,0101,1229,77,624,"50,77",3,621,201,"32,37",178,"28,66",148,"23,83",0,"0,00",50,"8,05",26,"4,19",0,"0,00",18,"2,90",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0102,1075,54,558,"51,91",14,544,254,"46,69",127,"23,35",141,"25,92",0,"0,00",9,"1,65",7,"1,29",0,"0,00",6,"1,10",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0103,1070,33,559,"52,24",12,547,217,"39,67",113,"20,66",163,"29,80",0,"0,00",10,"1,83",13,"2,38",0,"0,00",31,"5,67",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0104,858,29,359,"41,84",8,351,138,"39,32",84,"23,93",88,"25,07",0,"0,00",18,"5,13",14,"3,99",0,"0,00",9,"2,56",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0105,723,53,292,"40,39",9,283,125,"44,17",74,"26,15",74,"26,15",0,"0,00",5,"1,77",2,"0,71",0,"0,00",3,"1,06",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0106,668,28,343,"51,35",4,339,139,"41,00",83,"24,48",96,"28,32",0,"0,00",10,"2,95",1,"0,29",0,"0,00",10,"2,95",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0107,758,27,343,"45,25",6,337,146,"43,32",88,"26,11",77,"22,85",0,"0,00",6,"1,78",7,"2,08",0,"0,00",13,"3,86",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0108,366,27,184,"50,27",1,183,77,"42,08",58,"31,69",41,"22,40",0,"0,00",3,"1,64",1,"0,55",0,"0,00",3,"1,64",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0109,1227,90,568,"46,29",8,560,231,"41,25",140,"25,00",162,"28,93",0,"0,00",5,"0,89",8,"1,43",0,"0,00",14,"2,50",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0110,999,64,461,"46,15",8,453,202,"44,59",101,"22,30",121,"26,71",0,"0,00",11,"2,43",6,"1,32",0,"0,00",12,"2,65",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0111,825,75,419,"50,79",7,412,171,"41,50",69,"16,75",155,"37,62",0,"0,00",5,"1,21",2,"0,49",0,"0,00",10,"2,43",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0112,1270,69,632,"49,76",9,623,274,"43,98",116,"18,62",206,"33,07",0,"0,00",15,"2,41",6,"0,96",0,"0,00",6,"0,96",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0113,532,19,261,"49,06",7,254,66,"25,98",89,"35,04",68,"26,77",0,"0,00",20,"7,87",3,"1,18",0,"0,00",8,"3,15",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0201,979,31,464,"47,40",7,457,118,"25,82",134,"29,32",136,"29,76",0,"0,00",7,"1,53",31,"6,78",0,"0,00",31,"6,78",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0202,880,79,386,"43,86",8,378,107,"28,31",107,"28,31",120,"31,75",0,"0,00",9,"2,38",12,"3,17",0,"0,00",23,"6,08",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0203,900,47,403,"44,78",8,395,132,"33,42",109,"27,59",113,"28,61",0,"0,00",7,"1,77",14,"3,54",0,"0,00",20,"5,06",0,"0,00",0,"0,00"
