AGS,Gebietskörperschaft,Wahlbezirksnummer,Wahlberechtigte,darunter: Wahlberechtigte mit Sperrvermerk,Wähler,Wahlbeteiligung,"Ungültige Zweitstimmen","Gültige Zweitstimmen",SPD,"Anteil SPD in %",CDU,"Anteil CDU in %",PDS,"Anteil PDS in %",BFWG,"Anteil BFWG in %","BFB-Die Offensive","Anteil BFB-Die Offensive in %",GRÜNE/B90,"Anteil GRÜNE/B90 in %",DVU,"Anteil DVU in %",F.D.P.,"Anteil F.D.P. in %",NPD,"Anteil NPD in %"
1205100000,Brandenburg an der Havel,0101,1229,77,624,"50,77",5,619,226,"36,51",196,"31,66",117,"18,90",1,"0,16",25,"4,04",19,"3,07",23,"3,72",12,"1,94",0,"0,00"
1205100000,Brandenburg an der Havel,0102,1075,54,558,"51,91",13,545,275,"50,46",121,"22,20",116,"21,28",1,"0,18",3,"0,55",6,"1,10",14,"2,57",8,"1,47",1,"0,18"
1205100000,Brandenburg an der Havel,0103,1070,33,559,"52,24",4,555,250,"45,05",126,"22,70",131,"23,60",1,"0,18",3,"0,54",10,"1,80",29,"5,23",5,"0,90",0,"0,00"
1205100000,Brandenburg an der Havel,0104,858,29,359,"41,84",3,356,152,"42,70",78,"21,91",74,"20,79",3,"0,84",10,"2,81",10,"2,81",20,"5,62",9,"2,53",0,"0,00"
1205100000,Brandenburg an der Havel,0105,723,53,292,"40,39",4,288,139,"48,26",70,"24,31",59,"20,49",0,"0,00",0,"0,00",3,"1,04",15,"5,21",2,"0,69",0,"0,00"
1205100000,Brandenburg an der Havel,0106,668,28,343,"51,35",5,338,148,"43,79",74,"21,89",79,"23,37",1,"0,30",3,"0,89",1,"0,30",23,"6,80",9,"2,66",0,"0,00"
1205100000,Brandenburg an der Havel,0107,758,27,343,"45,25",2,341,154,"45,16",76,"22,29",75,"21,99",0,"0,00",7,"2,05",4,"1,17",21,"6,16",4,"1,17",0,"0,00"
1205100000,Brandenburg an der Havel,0108,366,27,184,"50,27",1,183,81,"44,26",49,"26,78",42,"22,95",1,"0,55",3,"1,64",0,"0,00",6,"3,28",1,"0,55",0,"0,00"
1205100000,Brandenburg an der Havel,0109,1227,90,568,"46,29",7,561,259,"46,17",135,"24,06",134,"23,89",2,"0,36",5,"0,89",2,"0,36",20,"3,57",3,"0,53",1,"0,18"
1205100000,Brandenburg an der Havel,0110,999,64,461,"46,15",4,457,218,"47,70",109,"23,85",93,"20,35",2,"0,44",1,"0,22",6,"1,31",21,"4,60",6,"1,31",1,"0,22"
1205100000,Brandenburg an der Havel,0111,825,75,419,"50,79",4,415,182,"43,86",63,"15,18",133,"32,05",0,"0,00",2,"0,48",2,"0,48",22,"5,30",6,"1,45",5,"1,20"
1205100000,Brandenburg an der Havel,0112,1270,69,632,"49,76",6,626,313,"50,00",108,"17,25",169,"27,00",1,"0,16",4,"0,64",6,"0,96",19,"3,04",5,"0,80",1,"0,16"
1205100000,Brandenburg an der Havel,0113,532,19,261,"49,06",5,256,68,"26,56",87,"33,98",63,"24,61",0,"0,00",9,"3,52",4,"1,56",18,"7,03",6,"2,34",1,"0,39"
1205100000,Brandenburg an der Havel,0201,979,31,464,"47,40",1,463,158,"34,13",135,"29,16",106,"22,89",2,"0,43",0,"0,00",22,"4,75",21,"4,54",17,"3,67",2,"0,43"
1205100000,Brandenburg an der Havel,0202,880,79,386,"43,86",2,384,127,"33,07",112,"29,17",91,"23,70",0,"0,00",2,"0,52",12,"3,13",24,"6,25",14,"3,65",2,"0,52"
1205100000,Brandenburg an der Havel,0203,900,47,403,"44,78",8,395,144,"36,46",110,"27,85",100,"25,32",0,"0,00",1,"0,25",10,"2,53",15,"3,80",12,"3,04",3,"0,76"
1205100000,Brandenburg an der Havel,0204,1072,45,461,"43,00",3,458,202,"44,10",97,"21,18",110,"24,02",3,"0,66",4,"0,87",11,"2,40",20,"4,37",11,"2,40",0,"0,00"
1205100000,Brandenburg an der Havel,0205,1126,45,482,"42,81",5,477,179,"37,53",116,"24,32",123,"25,79",2,"0,42",4,"0,84",18,"3,77",32,"6,71",1,"0,21",2,"0,42"
1205100000,Brandenburg an der Havel,0206,790,25,247,"31,27",4,243,107,"44,03",55,"22,63",50,"20,58",3,"1,23",3,"1,23",6,"2,47",16,"6,58",3,"1,23",0,"0,00"
1205100000,Brandenburg an der Havel,0207,968,37,435,"44,94",10,425,184,"43,29",97,"22,82",108,"25,41",1,"0,24",3,"0,71",7,"1,65",22,"5,18",3,"0,71",0,"0,00"
1205100000,Brandenburg an der Havel,0208,755,21,303,"40,13",4,299,133,"44,48",73,"24,41",63,"21,07",2,"0,67",5,"1,67",1,"0,33",19,"6,35",2,"0,67",1,"0,33"
1205100000,Brandenburg an der Havel,0209,1063,20,458,"43,09",6,452,202,"44,69",94,"20,80",112,"24,78",0,"0,00",1,"0,22",4,"0,88",30,"6,64",7,"1,55",2,"0,44"
1205100000,Brandenburg an der Havel,0210,1172,43,523,"44,62",2,521,230,"44,15",126,"24,18",113,"21,69",1,"0,19",11,"2,11",6,"1,15",24,"4,61",8,"1,54",2,"0,38"
1205100000,Brandenburg an der Havel,0211,800,32,356,"44,50",5,351,137,"39,03",82,"23,36",98,"27,92",3,"0,85",4,"1,14",3,"0,85",18,"5,13",4,"1,14",2,"0,57"
1205100000,Brandenburg an der Havel,0301,1066,86,529,"49,62",8,521,192,"36,85",143,"27,45",119,"22,84",1,"0,19",3,"0,58",22,"4,22",22,"4,22",17,"3,26",2,"0,38"
1205100000,Brandenburg an der Havel,0302,1129,112,466,"41,28",7,459,162,"35,29",114,"24,84",129,"28,10",1,"0,22",8,"1,74",14,"3,05",18,"3,92",11,"2,40",2,"0,44"
1205100000,Brandenburg an der Havel,0303,1015,79,479,"47,19",7,472,170,"36,02",127,"26,91",123,"26,06",0,"0,00",1,"0,21",18,"3,81",16,"3,39",15,"3,18",2,"0,42"
1205100000,Brandenburg an der Havel,0304,734,18,299,"40,74",7,292,123,"42,12",68,"23,29",62,"21,23",1,"0,34",6,"2,05",9,"3,08",15,"5,14",3,"1,03",5,"1,71"
1205100000,Brandenburg an der Havel,0305,695,30,299,"43,02",1,298,141,"47,32",62,"20,81",72,"24,16",1,"0,34",0,"0,00",7,"2,35",14,"4,70",0,"0,00",1,"0,34"
1205100000,Brandenburg an der Havel,0306,842,33,371,"44,06",4,367,144,"39,24",93,"25,34",101,"27,52",1,"0,27",2,"0,54",3,"0,82",15,"4,09",7,"1,91",1,"0,27"
1205100000,Brandenburg an der Havel,0307,1107,35,374,"33,79",5,369,177,"47,97",87,"23,58",61,"16,53",2,"0,54",0,"0,00",8,"2,17",27,"7,32",5,"1,36",2,"0,54"
1205100000,Brandenburg an der Havel,0308,522,40,208,"39,85",2,206,75,"36,41",57,"27,67",54,"26,21",1,"0,49",0,"0,00",3,"1,46",3,"1,46",12,"5,83",1,"0,49"
1205100000,Brandenburg an der Havel,0309,562,9,181,"32,21",4,177,73,"41,24",41,"23,16",40,"22,60",1,"0,56",1,"0,56",6,"3,39",10,"5,65",5,"2,82",0,"0,00"
1205100000,Brandenburg an der Havel,0310,669,28,273,"40,81",4,269,136,"50,56",56,"20,82",48,"17,84",0,"0,00",3,"1,12",6,"2,23",15,"5,58",4,"1,49",1,"0,37"
1205100000,Brandenburg an der Havel,0311,960,63,374,"38,96",7,367,133,"36,24",93,"25,34",102,"27,79",3,"0,82",2,"0,54",3,"0,82",21,"5,72",9,"2,45",1,"0,27"
1205100000,Brandenburg an der Havel,0312,522,11,267,"51,15",4,263,95,"36,12",71,"27,00",67,"25,48",2,"0,76",2,"0,76",4,"1,52",19,"7,22",2,"0,76",1,"0,38"
1205100000,Brandenburg an der Havel,0313,1230,66,632,"51,38",7,625,267,"42,72",171,"27,36",122,"19,52",2,"0,32",2,"0,32",8,"1,28",21,"3,36",31,"4,96",1,"0,16"
1205100000,Brandenburg an der Havel,0314,1080,47,507,"46,94",8,499,211,"42,28",119,"23,85",106,"21,24",2,"0,40",4,"0,80",10,"2,00",19,"3,81",26,"5,21",2,"0,40"
1205100000,Brandenburg an der Havel,0315,682,21,378,"55,43",7,371,144,"38,81",115,"31,00",67,"18,06",1,"0,27",2,"0,54",2,"0,54",27,"7,28",9,"2,43",4,"1,08"
1205100000,Brandenburg an der Havel,0316,1039,31,603,"58,04",7,596,215,"36,07",177,"29,70",133,"22,32",6,"1,01",5,"0,84",17,"2,85",21,"3,52",21,"3,52",1,"0,17"
1205100000,Brandenburg an der Havel,0317,597,47,254,"42,55",4,250,112,"44,80",48,"19,20",67,"26,80",0,"0,00",1,"0,40",6,"2,40",12,"4,80",4,"1,60",0,"0,00"
1205100000,Brandenburg an der Havel,0318,1174,58,640,"54,51",2,638,255,"39,97",194,"30,41",133,"20,85",0,"0,00",4,"0,63",10,"1,57",24,"3,76",18,"2,82",0,"0,00"
1205100000,Brandenburg an der Havel,0401,690,29,321,"46,52",1,320,149,"46,56",49,"15,31",92,"28,75",0,"0,00",8,"2,50",7,"2,19",12,"3,75",2,"0,63",1,"0,31"
1205100000,Brandenburg an der Havel,0402,975,47,445,"45,64",8,437,164,"37,53",104,"23,80",126,"28,83",1,"0,23",3,"0,69",3,"0,69",21,"4,81",13,"2,97",2,"0,46"
1205100000,Brandenburg an der Havel,0403,786,30,322,"40,97",1,321,128,"39,88",77,"23,99",83,"25,86",1,"0,31",4,"1,25",2,"0,62",23,"7,17",2,"0,62",1,"0,31"
1205100000,Brandenburg an der Havel,0404,514,28,242,"47,08",2,240,112,"46,67",45,"18,75",61,"25,42",0,"0,00",1,"0,42",0,"0,00",15,"6,25",4,"1,67",2,"0,83"
1205100000,Brandenburg an der Havel,0405,466,9,143,"30,69",2,141,69,"48,94",21,"14,89",40,"28,37",1,"0,71",0,"0,00",1,"0,71",7,"4,96",1,"0,71",1,"0,71"
1205100000,Brandenburg an der Havel,0406,865,18,346,"40,00",9,337,136,"40,36",68,"20,18",97,"28,78",4,"1,19",6,"1,78",3,"0,89",18,"5,34",4,"1,19",1,"0,30"
1205100000,Brandenburg an der Havel,0407,673,15,208,"30,91",5,203,83,"40,89",35,"17,24",60,"29,56",0,"0,00",4,"1,97",5,"2,46",12,"5,91",4,"1,97",0,"0,00"
1205100000,Brandenburg an der Havel,0408,659,16,224,"33,99",4,220,87,"39,55",43,"19,55",65,"29,55",0,"0,00",1,"0,45",1,"0,45",20,"9,09",2,"0,91",1,"0,45"
1205100000,Brandenburg an der Havel,0409,753,27,339,"45,02",9,330,119,"36,06",76,"23,03",96,"29,09",2,"0,61",6,"1,82",5,"1,52",19,"5,76",4,"1,21",3,"0,91"
1205100000,Brandenburg an der Havel,0410,598,9,254,"42,47",4,250,108,"43,20",40,"16,00",79,"31,60",1,"0,40",2,"0,80",1,"0,40",17,"6,80",2,"0,80",0,"0,00"
1205100000,Brandenburg an der Havel,0411,1059,36,390,"36,83",7,383,150,"39,16",61,"15,93",128,"33,42",6,"1,57",5,"1,31",3,"0,78",27,"7,05",1,"0,26",2,"0,52"
1205100000,Brandenburg an der Havel,0412,712,37,238,"33,43",2,236,107,"45,34",36,"15,25",70,"29,66",0,"0,00",3,"1,27",4,"1,69",15,"6,36",0,"0,00",1,"0,42"
1205100000,Brandenburg an der Havel,0413,994,42,316,"31,79",4,312,142,"45,51",71,"22,76",67,"21,47",0,"0,00",3,"0,96",2,"0,64",22,"7,05",3,"0,96",2,"0,64"
1205100000,Brandenburg an der Havel,0414,1018,53,303,"29,76",4,299,134,"44,82",68,"22,74",74,"24,75",0,"0,00",3,"1,00",3,"1,00",12,"4,01",4,"1,34",1,"0,33"
1205100000,Brandenburg an der Havel,0415,674,30,243,"36,05",2,241,93,"38,59",46,"19,09",73,"30,29",1,"0,41",9,"3,73",2,"0,83",15,"6,22",2,"0,83",0,"0,00"
1205100000,Brandenburg an der Havel,0416,923,26,331,"35,86",8,323,154,"47,68",61,"18,89",76,"23,53",2,"0,62",1,"0,31",1,"0,31",19,"5,88",7,"2,17",2,"0,62"
1205100000,Brandenburg an der Havel,0501,972,24,339,"34,88",6,333,149,"44,74",72,"21,62",79,"23,72",2,"0,60",0,"0,00",6,"1,80",20,"6,01",3,"0,90",2,"0,60"
1205100000,Brandenburg an der Havel,0502,1095,22,291,"26,58",2,289,123,"42,56",53,"18,34",81,"28,03",1,"0,35",1,"0,35",5,"1,73",24,"8,30",1,"0,35",0,"0,00"
1205100000,Brandenburg an der Havel,0503,919,33,372,"40,48",8,364,163,"44,78",82,"22,53",87,"23,90",0,"0,00",1,"0,27",6,"1,65",21,"5,77",4,"1,10",0,"0,00"
1205100000,Brandenburg an der Havel,0504,699,44,313,"44,78",3,310,124,"40,00",77,"24,84",78,"25,16",0,"0,00",1,"0,32",6,"1,94",14,"4,52",8,"2,58",2,"0,65"
1205100000,Brandenburg an der Havel,0505,924,54,450,"48,70",9,441,146,"33,11",132,"29,93",128,"29,02",3,"0,68",0,"0,00",6,"1,36",15,"3,40",11,"2,49",0,"0,00"
1205100000,Brandenburg an der Havel,0506,824,47,327,"39,68",1,326,112,"34,36",97,"29,75",81,"24,85",1,"0,31",1,"0,31",3,"0,92",22,"6,75",7,"2,15",2,"0,61"
1205100000,Brandenburg an der Havel,0507,594,41,327,"55,05",1,326,122,"37,42",98,"30,06",71,"21,78",2,"0,61",0,"0,00",12,"3,68",10,"3,07",10,"3,07",1,"0,31"
1205100000,Brandenburg an der Havel,0508,914,53,244,"26,70",1,243,78,"32,10",37,"15,23",106,"43,62",0,"0,00",0,"0,00",8,"3,29",11,"4,53",3,"1,23",0,"0,00"
1205100000,Brandenburg an der Havel,0509,596,22,253,"42,45",8,245,103,"42,04",55,"22,45",60,"24,49",1,"0,41",1,"0,41",4,"1,63",9,"3,67",11,"4,49",1,"0,41"
1205100000,Brandenburg an der Havel,0510,857,54,378,"44,11",4,374,173,"46,26",83,"22,19",90,"24,06",0,"0,00",1,"0,27",6,"1,60",14,"3,74",7,"1,87",0,"0,00"
1205100000,Brandenburg an der Havel,0511,921,37,492,"53,42",5,487,223,"45,79",149,"30,60",93,"19,10",2,"0,41",0,"0,00",2,"0,41",11,"2,26",3,"0,62",4,"0,82"
1205100000,Brandenburg an der Havel,0512,894,36,407,"45,53",4,403,174,"43,18",106,"26,30",82,"20,35",1,"0,25",3,"0,74",4,"0,99",28,"6,95",3,"0,74",2,"0,50"
1205100000,Brandenburg an der Havel,0513,1227,40,565,"46,05",9,556,233,"41,91",160,"28,78",102,"18,35",3,"0,54",2,"0,36",4,"0,72",34,"6,12",15,"2,70",3,"0,54"
1205100000,Brandenburg an der Havel,0514,1177,30,596,"50,64",6,590,217,"36,78",197,"33,39",104,"17,63",0,"0,00",1,"0,17",5,"0,85",48,"8,14",16,"2,71",2,"0,34"
1205100000,Brandenburg an der Havel,0515,101,0,60,"59,41",4,56,26,"46,43",18,"32,14",11,"19,64",1,"1,79",0,"0,00",0,"0,00",0,"0,00",0,"0,00",0,"0,00"
1205100000,Brandenburg an der Havel,0516,447,21,256,"57,27",1,255,130,"50,98",57,"22,35",50,"19,61",0,"0,00",0,"0,00",5,"1,96",9,"3,53",3,"1,18",1,"0,39"
1205100000,Brandenburg an der Havel,0517,768,40,420,"54,69",5,415,188,"45,30",111,"26,75",80,"19,28",0,"0,00",1,"0,24",5,"1,20",20,"4,82",6,"1,45",4,"0,96"
1205100000,Brandenburg an der Havel,0518,959,58,438,"45,67",5,433,211,"48,73",110,"25,40",80,"18,48",0,"0,00",0,"0,00",4,"0,92",17,"3,93",9,"2,08",2,"0,46"
1205190000,Briefwahlbezirk,9199,0,0,608,"0,00",0,608,230,"37,83",196,"32,24",130,"21,38",6,"0,99",6,"0,99",12,"1,97",13,"2,14",15,"2,47",0,"0,00"
1205190000,Briefwahlbezirk,9299,0,0,408,"0,00",0,408,168,"41,18",83,"20,34",119,"29,17",1,"0,25",4,"0,98",9,"2,21",8,"1,96",14,"3,43",2,"0,49"
1205190000,Briefwahlbezirk,9399,0,0,769,"0,00",4,765,301,"39,35",219,"28,63",163,"21,31",2,"0,26",2,"0,26",33,"4,31",14,"1,83",27,"3,53",4,"0,52"
1205190000,Briefwahlbezirk,9499,0,0,436,"0,00",1,435,185,"42,53",78,"17,93",150,"34,48",2,"0,46",2,"0,46",5,"1,15",5,"1,15",7,"1,61",1,"0,23"
1205190000,Briefwahlbezirk,9599,0,0,174,"0,00",0,174,78,"44,83",46,"26,44",42,"24,14",2,"1,15",0,"0,00",3,"1,72",1,"0,57",2,"1,15",0,"0,00"
1205190000,Briefwahlbezirk,9699,0,0,414,"0,00",0,414,125,"30,19",120,"28,99",129,"31,16",1,"0,24",3,"0,72",9,"2,17",13,"3,14",13,"3,14",1,"0,24"
1205200000,Cottbus,0001,1010,131,499,"49,41",1,498,188,"37,75",107,"21,49",139,"27,91",4,"0,80",2,"0,40",21,"4,22",17,"3,41",19,"3,82",1,"0,20"
1205200000,Cottbus,0002,1124,157,538,"47,86",1,537,209,"38,92",131,"24,39",156,"29,05",2,"0,37",0,"0,00",10,"1,86",19,"3,54",9,"1,68",1,"0,19"
1205200000,Cottbus,0003,1212,158,629,"51,90",7,622,277,"44,53",130,"20,90",147,"23,63",1,"0,16",2,"0,32",23,"3,70",28,"4,50",14,"2,25",0,"0,00"
1205200000,Cottbus,0004,915,111,442,"48,31",5,437,148,"33,87",109,"24,94",110,"25,17",1,"0,23",2,"0,46",35,"8,01",15,"3,43",17,"3,89",0,"0,00"
1205200000,Cottbus,0005,1124,163,497,"44,22",3,494,196,"39,68",133,"26,92",115,"23,28",3,"0,61",2,"0,40",11,"2,23",15,"3,04",17,"3,44",2,"0,40"
1205200000,Cottbus,0006,1132,124,541,"47,79",3,538,253,"47,03",111,"20,63",138,"25,65",1,"0,19",2,"0,37",7,"1,30",19,"3,53",4,"0,74",3,"0,56"
1205200000,Cottbus,0007,1217,116,611,"50,21",4,607,270,"44,48",128,"21,09",164,"27,02",0,"0,00",3,"0,49",8,"1,32",21,"3,46",10,"1,65",3,"0,49"
1205200000,Cottbus,0008,1155,112,560,"48,48",5,555,259,"46,67",127,"22,88",116,"20,90",1,"0,18",3,"0,54",7,"1,26",26,"4,68",12,"2,16",4,"0,72"
1205200000,Cottbus,0009,999,78,513,"51,35",4,509,235,"46,17",103,"20,24",130,"25,54",3,"0,59",0,"0,00",4,"0,79",25,"4,91",9,"1,77",0,"0,00"
1205200000,Cottbus,0010,1055,93,577,"54,69",3,574,282,"49,13",100,"17,42",149,"25,96",3,"0,52",0,"0,00",11,"1,92",22,"3,83",6,"1,05",1,"0,17"
1205200000,Cottbus,0011,939,92,471,"50,16",6,465,181,"38,92",99,"21,29",156,"33,55",0,"0,00",3,"0,65",5,"1,08",17,"3,66",3,"0,65",1,"0,22"
1205200000,Cottbus,0012,1000,70,524,"52,40",5,519,199,"38,34",93,"17,92",192,"36,99",3,"0,58",0,"0,00",3,"0,58",24,"4,62",4,"0,77",1,"0,19"
1205200000,Cottbus,0013,1163,111,539,"46,35",10,529,266,"50,28",76,"14,37",136,"25,71",2,"0,38",1,"0,19",12,"2,27",28,"5,29",7,"1,32",1,"0,19"
1205200000,Cottbus,0014,1010,76,441,"43,66",3,438,195,"44,52",73,"16,67",136,"31,05",0,"0,00",1,"0,23",4,"0,91",16,"3,65",7,"1,60",6,"1,37"
1205200000,Cottbus,0015,1145,95,564,"49,26",5,559,244,"43,65",123,"22,00",147,"26,30",2,"0,36",0,"0,00",14,"2,50",20,"3,58",7,"1,25",2,"0,36"
1205200000,Cottbus,0016,1108,93,562,"50,72",8,554,230,"41,52",122,"22,02",156,"28,16",2,"0,36",2,"0,36",7,"1,26",22,"3,97",7,"1,26",6,"1,08"
1205200000,Cottbus,0017,1136,80,589,"51,85",3,586,290,"49,49",121,"20,65",141,"24,06",0,"0,00",0,"0,00",7,"1,19",18,"3,07",8,"1,37",1,"0,17"
1205200000,Cottbus,0018,1234,90,509,"41,25",9,500,242,"48,40",97,"19,40",118,"23,60",2,"0,40",0,"0,00",6,"1,20",19,"3,80",15,"3,00",1,"0,20"
1205200000,Cottbus,0019,846,31,471,"55,67",4,467,190,"40,69",150,"32,12",82,"17,56",2,"0,43",1,"0,21",5,"1,07",26,"5,57",8,"1,71",3,"0,64"
1205200000,Cottbus,0020,1059,27,584,"55,15",10,574,248,"43,21",172,"29,97",104,"18,12",0,"0,00",0,"0,00",11,"1,92",26,"4,53",10,"1,74",3,"0,52"
1205200000,Cottbus,0022,902,56,513,"56,87",7,506,200,"39,53",160,"31,62",101,"19,96",1,"0,20",0,"0,00",5,"0,99",23,"4,55",14,"2,77",2,"0,40"
1205200000,Cottbus,0023,872,62,505,"57,91",4,501,176,"35,13",159,"31,74",118,"23,55",2,"0,40",0,"0,00",5,"1,00",22,"4,39",16,"3,19",3,"0,60"
1205200000,Cottbus,0024,1168,120,643,"55,05",8,635,297,"46,77",122,"19,21",170,"26,77",4,"0,63",3,"0,47",16,"2,52",14,"2,20",9,"1,42",0,"0,00"
1205200000,Cottbus,0025,1034,121,601,"58,12",6,595,299,"50,25",126,"21,18",143,"24,03",0,"0,00",0,"0,00",8,"1,34",18,"3,03",1,"0,17",0,"0,00"
1205200000,Cottbus,0026,1299,128,763,"58,74",8,755,355,"47,02",148,"19,60",191,"25,30",2,"0,26",0,"0,00",15,"1,99",33,"4,37",10,"1,32",1,"0,13"
1205200000,Cottbus,0027,1110,62,603,"54,32",8,595,269,"45,21",124,"20,84",145,"24,37",2,"0,34",1,"0,17",15,"2,52",19,"3,19",18,"3,03",2,"0,34"
1205200000,Cottbus,0028,1183,114,535,"45,22",12,523,203,"38,81",163,"31,17",112,"21,41",0,"0,00",0,"0,00",9,"1,72",18,"3,44",11,"2,10",7,"1,34"
1205200000,Cottbus,0029,857,47,373,"43,52",6,367,143,"38,96",65,"17,71",126,"34,33",3,"0,82",1,"0,27",1,"0,27",17,"4,63",8,"2,18",3,"0,82"
1205200000,Cottbus,0030,1025,111,533,"52,00",5,528,214,"40,53",111,"21,02",153,"28,98",3,"0,57",1,"0,19",20,"3,79",13,"2,46",13,"2,46",0,"0,00"
1205200000,Cottbus,0031,1126,174,574,"50,98",7,567,264,"46,56",127,"22,40",135,"23,81",2,"0,35",0,"0,00",9,"1,59",27,"4,76",3,"0,53",0,"0,00"
1205200000,Cottbus,0032,1126,114,647,"57,46",6,641,273,"42,59",145,"22,62",174,"27,15",0,"0,00",1,"0,16",7,"1,09",14,"2,18",26,"4,06",1,"0,16"
1205200000,Cottbus,0033,1221,104,581,"47,58",19,562,257,"45,73",119,"21,17",131,"23,31",4,"0,71",5,"0,89",7,"1,25",31,"5,52",6,"1,07",2,"0,36"
