WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
001,"1,21E+07",Bad Wilsnack,0001,995,500,"50,25",903,92,0,32,14,486,180,136,124,0,7,14,0,17,0,0,0,0,8,0,0,0
001,"1,21E+07",Bad Wilsnack,0002,875,442,"50,51",825,50,0,1,14,428,168,122,90,0,7,22,0,12,0,0,0,0,7,0,0,0
001,"1,21E+07",Bad Wilsnack,0003,325,187,"57,54",308,17,0,0,3,184,63,44,51,0,1,15,0,6,0,0,0,0,4,0,0,0
001,"1,21E+07",Bad Wilsnack,0004,150,87,"58,00",142,8,0,0,0,87,25,26,26,0,2,5,0,1,0,0,0,0,2,0,0,0
001,"1,21E+07",Bad Wilsnack,0005,169,99,"58,58",164,5,0,0,2,97,37,18,30,0,1,3,0,7,0,0,0,0,1,0,0,0
001,"1,21E+07",Breese,0001,1080,634,"58,70",1036,44,0,0,15,619,249,150,148,0,11,13,0,40,0,0,0,0,8,0,0,0
001,"1,21E+07",Breese,0002,278,165,"59,35",262,16,0,0,4,161,65,36,25,0,9,5,0,17,0,0,0,0,4,0,0,0
001,"1,21E+07",Cumlosen,0001,732,448,"61,20",714,18,0,0,8,440,184,107,66,0,7,12,0,26,0,0,0,0,38,0,0,0
001,"1,21E+07",Gumtow,0001,276,159,"57,61",274,2,0,0,1,158,66,32,49,0,3,2,0,4,0,0,0,0,2,0,0,0
001,"1,21E+07",Gumtow,0002,414,247,"59,66",398,16,0,0,7,240,88,50,59,0,28,7,0,5,0,0,0,0,3,0,0,0
001,"1,21E+07",Gumtow,0003,352,179,"50,85",347,5,0,0,2,177,60,30,71,0,2,5,0,8,0,0,0,0,1,0,0,0
001,"1,21E+07",Gumtow,0004,201,112,"55,72",196,5,0,0,3,109,35,32,24,0,12,3,0,1,0,0,0,0,2,0,0,0
001,"1,21E+07",Gumtow,0005,132,67,"50,76",132,0,0,0,0,67,20,23,16,0,3,0,0,3,0,0,0,0,2,0,0,0
001,"1,21E+07",Gumtow,0006,98,75,"76,53",85,13,0,0,2,73,9,25,27,0,4,5,0,2,0,0,0,0,1,0,0,0
001,"1,21E+07",Gumtow,0007,78,44,"56,41",74,4,0,0,1,43,11,12,16,0,2,0,0,1,0,0,0,0,1,0,0,0
001,"1,21E+07",Gumtow,0008,224,112,"50,00",215,9,0,0,4,108,35,36,24,0,1,4,0,3,0,0,0,0,5,0,0,0
001,"1,21E+07",Gumtow,0009,99,74,"74,75",97,2,0,0,3,71,26,18,20,0,4,0,0,1,0,0,0,0,2,0,0,0
001,"1,21E+07",Gumtow,0010,348,165,"47,41",337,11,0,0,4,161,52,29,52,0,7,9,0,8,0,0,0,0,4,0,0,0
001,"1,21E+07",Gumtow,0011,154,79,"51,30",149,5,0,0,1,78,21,19,25,0,1,2,0,5,0,0,0,0,5,0,0,0
