WKNR,AGS,Gemeindename,Wahlbezirksnr.,Wahlberechtigte,Wähler,"Wahlbeteiligung in Prozent","Wahlberechtigte ohne Sperrvermerk","Wahlberechtigte mit Sperrvermerk","Wahlberechtigte nach WO","Wähler mit Wahlschein","Ungültige Stimmen","Gültige Stimmen",SPD,CDU,PDS,DVU,GRÜNE/B90,FDP,AfW,AUB-Brandenburg,DKP,GRAUE,FAMILIE,50 Plus,JA,Offensive D,BRB,Einzelbewerber
001,"1,21E+07",Bad Wilsnack,0001,995,500,"50,25",903,92,0,32,10,490,190,119,112,26,6,13,2,3,1,6,8,2,2,0,0,0
001,"1,21E+07",Bad Wilsnack,0002,875,442,"50,51",825,50,0,1,9,433,187,101,80,16,9,12,0,9,0,2,11,0,3,2,1,0
001,"1,21E+07",Bad Wilsnack,0003,325,187,"57,54",308,17,0,0,1,186,70,33,44,14,3,11,0,2,0,3,6,0,0,0,0,0
001,"1,21E+07",Bad Wilsnack,0004,150,87,"58,00",142,8,0,0,0,87,29,27,18,8,2,1,0,0,0,2,0,0,0,0,0,0
001,"1,21E+07",Bad Wilsnack,0005,169,99,"58,58",164,5,0,0,2,97,42,14,24,11,1,0,0,3,0,0,2,0,0,0,0,0
001,"1,21E+07",Breese,0001,1080,634,"58,70",1036,44,0,0,10,624,230,143,143,31,13,19,1,17,0,1,21,1,3,1,0,0
001,"1,21E+07",Breese,0002,278,165,"59,35",262,16,0,0,3,162,68,39,23,12,9,2,0,1,0,0,6,2,0,0,0,0
001,"1,21E+07",Cumlosen,0001,732,448,"61,20",714,18,0,0,4,444,189,103,65,38,6,9,0,11,0,0,13,3,6,0,1,0
001,"1,21E+07",Gumtow,0001,276,159,"57,61",274,2,0,0,1,158,64,32,42,9,4,1,0,2,2,0,2,0,0,0,0,0
001,"1,21E+07",Gumtow,0002,414,247,"59,66",398,16,0,0,6,241,102,52,52,11,8,7,0,3,0,0,4,0,0,0,2,0
001,"1,21E+07",Gumtow,0003,352,179,"50,85",347,5,0,0,0,179,57,24,56,25,2,1,2,2,0,2,4,3,1,0,0,0
001,"1,21E+07",Gumtow,0004,201,112,"55,72",196,5,0,0,3,109,35,31,26,4,4,4,0,1,0,1,3,0,0,0,0,0
001,"1,21E+07",Gumtow,0005,132,67,"50,76",132,0,0,0,0,67,21,20,15,1,3,1,0,1,1,0,3,0,1,0,0,0
001,"1,21E+07",Gumtow,0006,98,75,"76,53",85,13,0,0,2,73,10,23,24,6,2,3,0,1,0,0,1,2,0,0,1,0
001,"1,21E+07",Gumtow,0007,78,44,"56,41",74,4,0,0,1,43,13,12,9,2,1,1,0,1,0,1,1,0,2,0,0,0
001,"1,21E+07",Gumtow,0008,224,112,"50,00",215,9,0,0,5,107,40,30,15,12,1,3,0,1,0,0,0,0,2,0,3,0
001,"1,21E+07",Gumtow,0009,99,74,"74,75",97,2,0,0,5,69,26,15,17,6,1,0,0,0,0,0,3,0,1,0,0,0
001,"1,21E+07",Gumtow,0010,348,165,"47,41",337,11,0,0,4,161,58,29,44,12,3,8,0,0,0,1,3,0,1,0,2,0
001,"1,21E+07",Gumtow,0011,154,79,"51,30",149,5,0,0,0,79,20,20,28,3,1,2,0,1,0,1,2,0,0,0,1,0
001,"1,21E+07",Gumtow,0012,118,75,"63,56",116,2,0,0,0,75,31,29,9,2,1,3,0,0,0,0,0,0,0,0,0,0
001,"1,21E+07",Gumtow,0013,124,79,"63,71",124,0,0,0,3,76,20,26,16,7,0,1,0,2,0,0,3,0,1,0,0,0
001,"1,21E+07",Gumtow,0014,66,47,"71,21",64,2,0,0,3,44,17,17,5,0,2,0,0,0,0,1,1,0,0,0,1,0
001,"1,21E+07",Gumtow,0015,431,232,"53,83",418,13,0,0,4,228,82,46,70,11,6,4,0,1,0,0,7,0,1,0,0,0
001,"1,21E+07",Gumtow,0016,241,121,"50,21",230,11,0,0,2,119,25,41,31,8,1,4,0,0,1,0,4,3,1,0,0,0
001,"1,21E+07",Karstädt,0001,296,160,"54,05",291,5,0,0,8,152,57,42,28,15,1,2,0,1,0,0,5,0,0,0,1,0
001,"1,21E+07",Karstädt,0002,181,94,"51,93",175,6,0,0,2,92,26,34,22,2,4,4,0,0,0,0,0,0,0,0,0,0
001,"1,21E+07",Karstädt,0003,497,224,"45,07",475,22,0,0,1,223,76,49,66,11,2,14,0,1,0,0,2,1,1,0,0,0
001,"1,21E+07",Karstädt,0004,199,115,"57,79",196,3,0,0,0,115,39,35,24,4,2,2,1,4,0,0,2,1,1,0,0,0
001,"1,21E+07",Karstädt,0005,154,64,"41,56",149,5,0,0,1,63,14,28,8,7,2,3,0,0,0,0,1,0,0,0,0,0
001,"1,21E+07",Karstädt,0006,97,62,"63,92",93,4,0,0,2,60,25,13,13,2,2,4,0,1,0,0,0,0,0,0,0,0
001,"1,21E+07",Karstädt,0007,102,52,"50,98",102,0,0,0,1,51,17,15,10,4,0,0,0,1,0,0,3,0,1,0,0,0
001,"1,21E+07",Karstädt,0008,305,149,"48,85",292,13,0,0,6,143,35,65,26,7,3,5,1,0,0,0,0,0,1,0,0,0
001,"1,21E+07",Karstädt,0009,823,365,"44,35",775,48,0,0,6,359,140,74,82,31,4,14,0,7,0,2,1,0,2,1,1,0
001,"1,21E+07",Karstädt,0010,789,357,"45,25",757,32,0,1,6,351,131,66,94,38,2,7,0,4,0,3,5,1,0,0,0,0
001,"1,21E+07",Karstädt,0011,439,198,"45,10",416,23,0,0,4,194,74,41,44,18,8,2,1,0,1,2,2,1,0,0,0,0
001,"1,21E+07",Karstädt,0012,326,181,"55,52",316,10,0,0,3,178,75,26,49,8,1,8,0,3,0,0,5,1,2,0,0,0
001,"1,21E+07",Karstädt,0013,261,130,"49,81",255,6,0,0,0,130,35,42,35,11,0,2,1,0,1,1,2,0,0,0,0,0
001,"1,21E+07",Karstädt,0014,174,105,"60,34",170,4,0,0,2,103,31,36,22,8,4,0,0,1,0,0,0,1,0,0,0,0
001,"1,21E+07",Karstädt,0015,210,116,"55,24",204,6,0,0,0,116,43,20,26,8,3,7,2,3,0,0,2,1,0,0,1,0
001,"1,21E+07",Karstädt,0016,170,106,"62,35",170,0,0,0,1,105,31,20,17,28,3,2,0,0,0,0,1,0,3,0,0,0
001,"1,21E+07",Karstädt,0017,422,232,"54,98",412,10,0,0,3,229,88,58,42,19,6,5,0,3,0,0,5,0,2,1,0,0
001,"1,21E+07",Karstädt,0018,294,141,"47,96",286,8,0,0,2,139,45,45,18,15,0,11,0,0,0,0,2,0,0,1,2,0
001,"1,21E+07",Karstädt,0019,166,91,"54,82",160,6,0,0,1,90,27,22,14,19,0,2,0,1,0,0,2,1,0,0,2,0
001,"1,21E+07",Karstädt,0020,209,91,"43,54",209,0,0,0,1,90,25,22,24,13,0,3,0,0,0,0,2,1,0,0,0,0
001,"1,21E+07",Lanz,0001,743,380,"51,14",719,24,0,0,9,371,99,86,103,31,8,15,0,6,0,0,19,1,3,0,0,0
001,"1,21E+07",Legde/Quitzöbel,0001,280,170,"60,71",272,8,0,0,4,166,56,35,36,15,3,7,0,4,0,1,6,0,2,0,1,0
001,"1,21E+07",Legde/Quitzöbel,0002,256,146,"57,03",254,2,0,1,2,144,52,29,17,13,2,2,0,5,0,1,20,1,1,1,0,0
001,"1,21E+07",Legde/Quitzöbel,0003,83,54,"65,06",82,1,0,0,1,53,13,10,16,7,0,0,0,1,0,0,3,1,1,0,1,0
001,"1,21E+07",Lenzen (Elbe),0001,2064,973,"47,14",1950,114,0,0,17,956,345,215,211,50,11,23,1,67,1,3,23,4,0,0,2,0
001,"1,21E+07",Lenzen (Elbe),0002,215,136,"63,26",205,10,0,2,0,136,46,46,15,12,3,2,0,7,0,1,4,0,0,0,0,0
001,"1,21E+07",Lenzerwische,0001,352,203,"57,67",342,10,0,0,3,200,65,72,20,16,5,5,1,9,0,0,6,0,1,0,0,0
001,"1,21E+07",Lenzerwische,0002,90,63,"70,00",85,5,0,0,0,63,16,31,6,3,2,4,0,1,0,0,0,0,0,0,0,0
001,"1,21E+07",Perleberg,0001,1174,558,"47,53",1084,90,0,0,21,537,171,116,151,40,10,25,0,7,1,1,4,4,1,2,4,0
001,"1,21E+07",Perleberg,0002,1267,728,"57,46",1164,103,0,0,25,703,313,158,154,23,12,18,0,8,0,2,8,4,2,0,1,0
001,"1,21E+07",Perleberg,0003,1111,639,"57,52",991,120,0,0,18,621,281,107,175,22,3,16,0,6,0,1,7,0,1,0,2,0
001,"1,21E+07",Perleberg,0004,852,431,"50,59",812,40,0,0,27,404,164,66,117,23,4,11,0,5,0,1,9,0,3,1,0,0
001,"1,21E+07",Perleberg,0005,882,360,"40,82",847,35,0,0,19,341,112,44,131,27,5,5,0,3,0,2,4,4,3,0,1,0
001,"1,21E+07",Perleberg,0006,290,185,"63,79",270,20,0,0,2,183,62,49,47,13,2,7,0,2,0,0,1,0,0,0,0,0
001,"1,21E+07",Perleberg,0007,224,141,"62,95",222,2,0,0,5,136,49,19,42,8,7,4,0,0,0,0,6,0,1,0,0,0
001,"1,21E+07",Perleberg,0008,147,81,"55,10",138,9,0,0,0,81,27,19,27,2,1,1,0,1,0,0,2,0,1,0,0,0
001,"1,21E+07",Perleberg,0009,240,148,"61,67",239,1,0,0,3,145,52,39,30,13,1,4,0,4,0,0,1,0,1,0,0,0
001,"1,21E+07",Perleberg,0010,174,100,"57,47",174,0,0,0,2,98,23,42,18,7,2,2,0,3,0,0,0,1,0,0,0,0
001,"1,21E+07",Perleberg,0011,263,176,"66,92",248,15,0,0,3,173,43,44,59,10,0,5,0,3,0,1,6,2,0,0,0,0
001,"1,21E+07",Perleberg,0012,201,113,"56,22",194,7,0,0,6,107,33,33,25,7,4,0,0,2,0,3,0,0,0,0,0,0
001,"1,21E+07",Perleberg,0013,118,74,"62,71",114,4,0,0,2,72,30,12,23,3,1,0,0,0,0,0,3,0,0,0,0,0
001,"1,21E+07",Perleberg,0014,880,445,"50,57",840,40,0,0,22,423,152,52,177,14,2,7,0,2,0,2,9,0,1,5,0,0
