KreisNr,GemeindeNr,Gemeindename,Wahlbezirksart,Wahlbezirk,Landtagswahlkreis,Bundestagswahlkreis,Wahlberechtigte,Waehler,Ungueltig,Gueltig,SPD,LINKE,CDU,DVU,GRÜNE/B90,FDP,50Plus,DKP,REP,Die-Volksinitiative,NPD,RRP,FREIE_WÄHLER,FAMILIE,Freie_Union,Wagenitz,Leonhardt,Wolf,Stumpf,Gohlke,Lange,Noack,Selbitz,Häschel
52,12052016,"Cottbus, OT Kahren  ",Wahlbezirk,1601,44,65,528,293,12,281,81,77,78,0,10,21,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0
52,12052016,"Cottbus, OT Kahren  ",Wahlbezirk,1602,44,65,578,327,11,316,84,103,64,0,10,33,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0
52,12052017,"Cottbus, OT Kiekebusch  ",Wahlbezirk,1701,44,65,575,343,7,336,89,85,90,0,14,34,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,0,0
52,12052017,"Cottbus, OT Kiekebusch  ",Wahlbezirk,1702,44,65,607,350,12,338,103,85,93,0,10,30,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2101,44,65,955,512,23,489,198,132,109,0,16,11,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2102,44,65,933,491,19,472,173,142,90,0,17,27,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2103,44,65,983,587,13,574,176,187,147,0,27,15,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2104,44,65,703,409,14,395,153,121,72,0,12,20,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2105,44,65,1111,555,25,530,192,158,98,0,32,27,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2106,44,65,1050,444,15,429,127,153,75,0,24,15,0,0,0,0,21,0,14,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2107,44,65,950,473,16,457,142,150,94,0,26,24,0,0,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2108,44,65,932,407,17,390,135,109,84,0,24,21,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2109,44,65,1023,573,27,546,177,170,113,0,26,24,0,0,0,0,13,0,23,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2110,44,65,1038,540,10,530,200,150,108,0,27,20,0,0,0,0,10,0,15,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2111,44,65,972,449,15,434,130,161,73,0,21,26,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2112,44,65,902,462,10,452,161,154,81,0,15,17,0,0,0,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0
52,12052021,"Cottbus, OT Spremberger Vorstadt  ",Wahlbezirk,2113,44,65,1034,497,16,481,169,156,80,0,19,28,0,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0
52,12052022,"Cottbus, OT Madlow  ",Wahlbezirk,2201,44,65,348,184,3,181,60,60,31,0,10,10,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
52,12052022,"Cottbus, OT Madlow  ",Wahlbezirk,2202,44,65,579,290,10,280,90,82,75,0,4,11,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
52,12052022,"Cottbus, OT Madlow  ",Wahlbezirk,2203,44,65,558,325,12,313,95,101,63,0,17,19,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
52,12052023,"Cottbus, OT Sachsendorf  ",Wahlbezirk,2301,44,65,907,448,10,438,137,147,91,0,16,23,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
52,12052023,"Cottbus, OT Sachsendorf  ",Wahlbezirk,2302,44,65,1090,486,14,472,142,194,70,0,10,22,0,0,0,0,29,0,5,0,0,0,0,0,0,0,0,0,0,0
52,12052023,"Cottbus, OT Sachsendorf  ",Wahlbezirk,2303,44,65,927,420,6,414,135,135,69,0,25,22,0,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,0
52,12052023,"Cottbus, OT Sachsendorf  ",Wahlbezirk,2304,44,65,951,450,13,437,147,156,73,0,8,22,0,0,0,0,20,0,11,0,0,0,0,0,0,0,0,0,0,0
52,12052023,"Cottbus, OT Sachsendorf  ",Wahlbezirk,2305,44,65,957,360,17,343,111,127,60,0,8,8,0,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0
52,12052023,"Cottbus, OT Sachsendorf  ",Wahlbezirk,2306,44,65,864,356,10,346,99,139,51,0,8,9,0,0,0,0,24,0,16,0,0,0,0,0,0,0,0,0,0,0
52,12052023,"Cottbus, OT Sachsendorf  ",Wahlbezirk,2307,44,65,1126,522,16,506,174,189,75,0,12,29,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0
