KreisNr,GemeindeNr,Gemeindename,Wahlbezirksart,Wahlbezirk,Landtagswahlkreis,Bundestagswahlkreis,Wahlberechtigte,Waehler,Ungueltig,Gueltig,SPD,LINKE,CDU,DVU,GRÜNE/B90,FDP,50Plus,DKP,REP,Die-Volksinitiative,NPD,RRP,FREIE_WÄHLER
51,12051001,"Brandenburg an der Havel, OT Dom  ",Wahlbezirk,0101,17,61,403,250,4,246,78,45,82,0,27,11,0,0,1,0,1,0,1
51,12051001,"Brandenburg an der Havel, OT Dom  ",Wahlbezirk,0102,17,61,1184,704,14,690,239,156,201,2,29,47,1,1,1,1,9,1,2
51,12051001,"Brandenburg an der Havel, OT Dom  ",Wahlbezirk,0103,17,61,592,384,8,376,127,103,100,3,16,14,1,0,1,0,5,3,3
51,12051001,"Brandenburg an der Havel, OT Dom  ",Wahlbezirk,0104,17,61,412,256,2,254,73,57,70,3,9,29,1,1,1,0,6,2,2
51,12051001,"Brandenburg an der Havel, OT Dom  ",Wahlbezirk,0105,17,61,325,204,3,201,68,65,40,2,3,16,0,0,0,1,3,1,2
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0201,17,61,1243,733,20,713,191,190,180,6,63,46,1,0,1,0,27,3,5
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0202,17,61,851,403,12,391,109,118,89,6,24,28,2,0,0,1,9,1,4
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0203,17,61,1027,486,10,476,161,124,106,5,32,27,4,0,1,1,10,2,3
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0204,17,61,998,373,12,361,136,101,64,6,15,13,1,1,0,0,19,3,2
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0205,17,61,1273,651,19,632,199,170,146,7,45,38,1,3,0,1,13,1,8
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0206,17,61,1001,444,10,434,150,98,99,11,30,19,0,0,1,0,15,3,8
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0207,17,61,956,522,12,510,166,166,97,7,13,21,2,2,2,0,25,3,6
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0208,17,61,867,430,13,417,138,137,75,6,8,27,3,0,0,0,14,1,8
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0209,17,61,1251,646,20,626,222,194,127,10,17,29,2,0,2,0,13,2,8
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0210,17,61,460,197,3,194,77,58,32,0,4,12,0,0,2,0,7,0,2
51,12051002,"Brandenburg an der Havel, OT Altstadt  ",Wahlbezirk,0211,17,61,1179,683,25,658,233,191,123,7,30,39,4,1,1,1,19,1,8
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0301,17,61,1081,657,9,648,219,144,151,2,71,38,3,0,1,0,10,4,5
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0302,17,61,1251,610,15,595,199,188,132,8,27,17,2,0,2,2,4,5,9
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0303,17,61,1142,661,13,648,190,168,143,5,68,43,3,2,0,0,10,4,12
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0304,17,61,1310,655,15,640,222,161,141,5,33,39,2,1,0,1,27,4,4
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0305,17,61,1338,626,13,613,192,160,146,6,28,49,4,1,0,0,16,2,9
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0306,17,61,844,443,14,429,175,107,95,2,18,18,0,0,1,2,6,1,4
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0307,17,61,483,245,5,240,77,61,59,1,11,14,2,1,0,0,8,0,6
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0308,17,61,1400,666,15,651,224,182,132,4,38,36,3,3,2,1,13,4,9
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0309,17,61,1030,512,12,500,158,130,144,6,22,24,0,0,0,0,12,2,2
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0310,17,61,1141,635,28,607,237,144,140,5,25,33,2,0,0,0,12,4,5
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0311,17,61,1210,654,17,637,249,151,143,5,22,43,1,0,0,0,13,3,7
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0312,17,61,836,518,21,497,168,138,112,4,17,37,0,0,0,0,11,4,6
51,12051003,"Brandenburg an der Havel, OT Neustadt  ",Wahlbezirk,0313,17,61,1197,776,10,766,277,163,229,7,27,44,3,0,2,2,8,2,2
